Serial Number,Start Time,Event Type,Bump?,H2S Peak (ppm),CO Peak (ppm),O2 Peak (%Vol),LEL Peak (%LEL),Duration,Device Status,
KA418-1128160,2018-05-11 16:10:18,Low Alarm ,No,2.9,8.9,20.9,4.6,114,Active,
KA418-1128141,2018-05-11 17:31:50,Low Alarm ,No,0.0,0.0,20.2,0.0,1,Active,
KA418-1128141,2018-05-11 17:35:20,Multi Alarm ,No,25.0,100.0,17.6,50.0,79,Active,
KA418-1128141,2018-05-14 11:10:03,Low Alarm ,No,0.0,0.0,20.1,0.0,1,Active,
KA418-1128141,2018-05-14 11:11:36,Multi Alarm ,No,13.6,54.0,19.1,29.0,151,Active,
KA418-1128141,2018-05-14 11:15:45,High Alarm ,No,0.0,0.0,23.7,0.0,2,Active,
KA418-1128141,2018-05-14 11:36:09,Low Alarm ,No,0.0,0.0,20.0,0.0,6,Active,
KA418-1128141,2018-05-14 13:07:55,Low Alarm ,No,1.5,0.0,20.9,0.0,2,Active,
KA418-1128141,2018-05-14 13:22:29,Low Alarm ,No,0.0,0.0,20.2,0.0,1,Active,
KA418-1128141,2018-05-14 13:25:45,Low Alarm ,No,1.9,0.0,20.9,0.0,3,Active,
KA418-1128809,2018-05-14 14:27:52,Multi Alarm ,No,15.0,59.1,20.9,27.1,1,Active,
KA418-1128809,2018-05-14 14:31:48,Low Alarm ,No,2.2,5.7,20.9,3.6,58,Active,
KA418-1128809,2018-05-14 15:52:27,Multi Alarm ,Yes,13.9,86.9,18.3,45.3,12,Active,
KA418-1128809,2018-05-14 15:57:23,Low Alarm ,No,2.3,6.7,20.6,3.4,59,Active,
KA418-1128809,2018-05-14 16:03:17,Low Alarm ,No,1.7,6.7,20.6,4.0,15,Active,
KA418-1128809,2018-05-15 10:30:37,Low Alarm ,No,1.7,0.0,20.9,0.0,18,Active,
KA418-1128809,2018-05-15 10:41:19,Low Alarm ,No,1.7,4.8,20.9,0.0,14,Active,
KA418-1128809,2018-05-15 10:46:45,Low Alarm ,No,1.5,0.0,20.9,0.0,9,Active,
KA418-1128809,2018-05-15 11:03:55,Low Alarm ,No,1.9,6.7,20.9,3.8,41,Active,
KA418-1128809,2018-05-15 11:17:34,Low Alarm ,No,1.5,0.0,20.9,0.0,1,Active,
KA418-1128141,2018-05-15 11:39:38,Multi Alarm ,No,1.7,0.0,18.9,0.0,4,Active,
KA418-1128141,2018-05-15 14:03:20,Low Alarm ,No,2.1,5.1,20.9,0.0,51,Active,
KA418-1128141,2018-05-15 14:09:36,Low Alarm ,No,2.1,8.5,20.9,3.7,51,Active,
KA418-1128141,2018-05-15 14:16:16,Low Alarm ,No,1.9,0.0,20.9,0.0,24,Active,
KA418-1128141,2018-05-15 14:22:49,Low Alarm ,No,1.7,5.1,20.9,0.0,36,Active,
KA418-1128809,2018-05-16 11:26:54,Low Alarm ,No,0.0,0.0,15.8,0.0,16,Active,
KA418-1128814,2018-05-15 10:53:52,Low Alarm ,No,2.2,7.0,20.9,0.0,52,Active,
KA418-1128814,2018-05-15 11:12:34,Low Alarm ,No,1.8,6.1,20.9,0.0,24,Active,
KA418-1128814,2018-05-15 11:19:17,Low Alarm ,No,2.0,5.3,20.9,0.0,35,Active,
KA418-1128814,2018-05-15 11:25:07,Low Alarm ,No,1.6,5.3,20.9,0.0,29,Active,
KA418-1128814,2018-05-15 15:49:29,Low Alarm ,No,1.5,0.0,20.9,0.0,7,Active,
